What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,,,,,,,,,,,,,,,Which desktop operating system do you use the most?,What best describes your career / job satisfaction? ,"Including bonus, what is your annual compensation in USD?",Have you visited / Are you aware of Stack Overflow Careers?,Do you have a Stack Overflow Careers Profile?,"You answered you don't have a Careers profile, can you elaborate why?",,Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,Which of our sites do you frequent most?,
Response,Response,Response,Response,Response,Response,Response,Influencer,Recommender,Approver,Purchaser,Check Writer,No Involvement,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,Response,Response,Java,JavaScript,CSS,PHP,Python,Objective-C,Ruby,SQL,C#,C++,C,Perl,HTML5,None,Other (please specify),Response,Response,Response,Response,Response,Response,Other (please specify),iPhone,Android,Blackberry,Windows Phone,Other Smart Phone,Regular Mobile Phone,Kindle,Nook,AppleTV,Boxee,Other media streaming device,Netbook,PS3,Xbox,Wii,Other gaming system,Kindle Fire,iPad,Other tablet,Other (please specify),Response,The ads are relevant,The ads are entertaining,The ads are Informative,I click on ads that interest me,I've taken a trial/purchased a product from ads,What ads? I use an ad blocker,Open-Ended Response,Response,Response,Other Stack Exchange (please specify)
India,,20-24,<2,Consulting,"Fortune 1000 (1,000+)",Server Programmer,Influencer,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,"<$10,000",SaaS,Java,JavaScript,,,,,,SQL,,C++,C,,,,,Linux,Love my job,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,Android,,,,,,,,,,Netbook,,,,,,,,,"$501-$1,000",,,,,,,,,,
Germany,,25-29,<2,Other,Mature Small Business (25-100),Embedded Application Developer,,Recommender,,,,,,,,Software,,Consultants,,Don't know,Mobile,,JavaScript,CSS,PHP,,Objective-C,,,,C++,,,HTML5,,,Windows 7,I enjoy going to work,"$20,000 - $40,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,,,,,,,,,,,,,,,,,,,,,$100-$250,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,,Don't have an account,Stack Overflow,
United Kingdom,,20-24,41070,Finance / Banking,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$25,001 - $40,000",Web Platform,,,CSS,PHP,,Objective-C,,SQL,,,,,HTML5,,,Mac OS X,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,Blackberry,,,,,,,,Other media streaming device,,,Xbox,,,,iPad,,,"$1,001-$2,000",Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,,1,Stack Overflow,
France,,20-24,40944,Software Products,Mature Small Business (25-100),Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,,,C++,,,,,,Linux,I'm not happy in my job,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,iPad,,,"$1,001-$2,000",Agree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,None !,Don't have an account,Stack Overflow,
United States of America,Iowa,< 20,40944,Other,Student,Student,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,,,,,,,,,Mac OS X,I wish I had a job!,Student / Unemployed,No,No thank you,Don't have anything cool to put on a profile,,iPhone,Android,,,,,Kindle,,,,,,,,,Other gaming system,,,,,$251-$500,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,none,1,Stack Overflow,
Other Europe,,30-34,40944,Web Services,Start Up (1-25),Web Application Developer,Influencer,,,,,,,,,,,,Other,Don't know,Web Platform,Java,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Mac OS X,I enjoy going to work,"$40,000 - $60,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,Regular Mobile Phone,Kindle,,,,,,,,,,,,,,">$3,000",Agree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,,50,Stack Overflow,
Other Europe,,25-29,40944,Web Services,Mid Sized (100-999),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,PHP,,,,SQL,,,,,HTML5,,,Windows 7,Its a paycheck,,No,No thank you,,,,,,Windows Phone,Other Smart Phone,,,,,,Other media streaming device,,,,,,,,,,,,,,,,,,,,
Other Europe,,20-24,<2,Software Products,Start Up (1-25),Web Application Developer,,Recommender,,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Windows 7,I enjoy going to work,Student / Unemployed,Yes,Yes,,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,500,Stack Overflow,
Russia,,20-24,<2,Software Products,Mature Small Business (25-100),Server Programmer,,,,,,No Involvement,,,,,,,,,SaaS,Java,,,,,,,SQL,C#,C++,,,,,,Windows 7,I'm not happy in my job,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,Kindle,,,,,,,,,,,,,,$100-$250,Agree,Agree,Disagree,Disagree,Disagree,Disagree,,Don't have an account,Stack Overflow,
